Programs,City,Name,Address,Telephone,Website,age,gender,number 
Youth Outreach Worker Program,Scarborough,East Metro Youth Services,"1200 Markham Rd, Scarborough, Ontario, M1H 3C3","<a href=""tel:416-438-3697"">416-438-3697</a>","<a href=""http://emys.on.ca"">emys.on.ca</a>",38,Male,17
Youth Outreach Worker Program,Brampton,Fernie House,"8500 McLaughlin Road, Brampton, Ontario, L6Y 0N6","<a href=""tel:416-284-3711"">416-284-3711</a>","<a href=""http://www.fernieyouth.ca"">www.fernieyouth.ca</a>",43,Male,18
"Youth Outreach Worker Program, Student and Family Advocates Initiative",York,For Youth Initiative,"1652 Keele <abbr title=""Street"">St</abbr>, York, Ontario, M6M 3W3","<a href=""tel:416-653-3311"">416-653-3311</a>","<a href=""http://www.foryouth.ca"">www.foryouth.ca</a>",34,Female,19
Youth Outreach Worker Program,Toronto,Good Shepherd Ministries,"412 Queen <abbr title=""Street"">St</abbr> E, Toronto, Ontario, M5A 1T3","<a href=""tel:416-869-3619"">416-869-3619</a>","<a href=""http://www.goodshepherd.ca"">www.goodshepherd.ca</a>",30,Female,20
Youth Outreach Worker Program,Toronto,Griffin Centre,"1126 Finch Ave W, Toronto, Ontario, M3J 3J6","<a href=""tel:416-222-1153"">416-222-1153</a>","<a href=""http://www.griffin-centre.org"">www.griffin-centre.org</a>",43,Male,21
Youth Outreach Worker Program,Hamilton,Hamilton Regional Indian Centre,"34 Ottawa <abbr title=""Street"">St</abbr> N, Hamilton, Ontario, L8H 3Y7","<a href=""tel:905-548-9593"">905-548-9593</a>","<a href=""http://www.hric.ca"">www.hric.ca</a>",33,Female,22
Youth Outreach Worker Program,Toronto,Hincks-Dellcrest Centre,"440 Jarvis <abbr title=""Street"">St</abbr>, Toronto, Ontario, M4Y 2H4","<a href=""tel:416-924-1164"">416-924-1164</a>","<a href=""http://www.hincksdellcrest.org"">www.hincksdellcrest.org</a>",49,Female,23
Youth Outreach Worker Program,Scarborough,Hong Fook Mental Health Association,"3320 Midland Ave, Scarborough, Ontario, M1V 5E6","<a href=""tel:416-493-4242"">416-493-4242</a>","<a href=""http://www.hongfook.ca/index.php/contact-us"">www.hongfook.ca/index.php/contact-us</a>",24,Female,24
Youth Outreach Worker Program,North York,"Jane <abbr title=""Street"">St.</abbr> Hub / Yorktown","1541 Jane <abbr title=""Street"">St</abbr>, North York, Ontario, M9N 2R3","<a href=""tel:416-645-7575"">416-645-7575</a>","<a href=""http://unisonhcs.org/community-services/jane-street-hub/"">unisonhcs.org/community-services/jane-street-hub/</a>",48,Male,25
Youth Outreach Worker Program,North York,Jane-Finch Community & Family Centre,"4400 Jane <abbr title=""Street"">St</abbr>, North York, Ontario, M3N 2K4","<a href=""tel:416-663-2733"">416-663-2733 <abbr title=""extension"">ext.</abbr>290</a>","<a href=""http://www.janefinchcentre.org/content/youth-and-focus"">www.janefinchcentre.org/content/youth-and-focus</a>",34,Female,26
Youth Outreach Worker Program,Hamilton,Living Rock Ministries,"30 Wilson <abbr title=""Street"">St</abbr>, Hamilton, Ontario, L8R 1C5","<a href=""tel:905-528-7625"">905-528-7625</a>","<a href=""http://www.livingrock.ca"">www.livingrock.ca</a>",41,Male,27
Youth Outreach Worker Program,Hamilton,London Inter-community Health Centre,"659 Dundas <abbr title=""Street"">St</abbr>, London, Ontario, N5W 2Y8","<a href=""tel:519-659-6399"">519-659-6399</a> or <a href=""tel:519-660-0879"">519-660-0879</a>","<a href=""http://lihc.on.ca"">lihc.on.ca</a>",49,Male,28
Youth Outreach Worker Program,Mississauga,Malton Neighbourhood Services,"3540 Morning Star Dr, Mississauga, Ontario, L4T 1Y2","<a href=""tel:905-677-6270"">905-677-6270</a>","<a href=""http://www.mnsinfo.org"">www.mnsinfo.org</a>",48,Male,29
"Youth Outreach Worker Program, Student and Family Advocates Initiative",Scarborough,Malvern Family Resource Centre,"90 Littles Rd, Scarborough, Ontario, M1B 5E2","<a href=""tel:416-284-4184"">416-284-4184</a>","<a href=""http://mfrc.org/contact-us"">mfrc.org/contact-us</a>",50,Female,30
"Youth Outreach Worker Program, Gang Prevention and Intervention Program, Youth Mentorship Program",North York,Midaynta,"1992 Yonge <abbr title=""Street"">St</abbr>, North York, Ontario, M2P 1R3","<a href=""tel:416-544-1992"">416-544-1992</a>","<a href=""http://midaynta.com"">midaynta.com</a>",25,Female,31
Youth Outreach Worker Program,Toronto,Native Child and Family Services Toronto,"456 Yonge <abbr title=""Street"">St</abbr>, Toronto, Ontario, M4Y 1W9","<a href=""tel:416-969-8510"">416-969-8510</a>","<a href=""http://www.nativechild.org"">www.nativechild.org</a>",28,Female,32
Youth Outreach Worker Program,Toronto,Neighbourhood Link,"2802 Danforth Ave, Toronto, Ontario, M4C 1N2","<abbr title=""Not Available"">N/A</abbr>","<a href=""http://www.neighbourhoodlink.org"">www.neighbourhoodlink.org</a>",25,Male,33
"Youth Outreach Worker Program, Gang Prevention and Intervention Program",Windsor,New Beginnings,"1015 Highland Ave, Windsor, Ontario, N9A 1R6 ","<a href=""tel:519-971-0973"">519-971-0973</a>","<a href=""http://www.newbeginningswindsor.com"">www.newbeginningswindsor.com</a>",51,Male,34
Youth Outreach Worker Program,Kingston,Pathways for Children and Youth,"31 Hyperion Court, Kingston, Ontario, K7K 7G3","<a href=""tel:613-546-8535"">613-546-8535</a>","<a href=""http://www.pathwayschildrenyouth.org"">www.pathwayschildrenyouth.org</a>",25,Male,35
Youth Outreach Worker Program,Peterborough,Peterborough Youth Services,"459 Reid <abbr title=""Street"">St</abbr>, Peterborough, Ontario, K9H 4G7","<a href=""tel:705-743-1681"">705-743-1681</a>","<a href=""http://www.peterboroughyouthservices.ca/index.htm"">www.peterboroughyouthservices.ca/index.htm</a>",37,Male,36
Youth Outreach Worker Program,North York,"Promoting Economic Action and Community Health (<abbr title=""Promoting Economic Action and Community Health"">PEACH</abbr>)","127 Eddystone Ave, North York, Ontario, M3N 1H6","<a href=""tel:416-740-9593"">416-740-9593</a>","<a href=""http://www.peachyouth.org"">www.peachyouth.org</a>",35,Female,37
Youth Outreach Worker Program,Etobicoke,Rexdale Community Health Centre,"8 Taber Rd, Etobicoke, Ontario, M9W 3A4","<a href=""tel:416-744-0066"">416-744-0066</a>","<a href=""http://www.rexdalechc.com"">www.rexdalechc.com</a>",35,Male,38
Youth Outreach Worker Program,Toronto,Roma Community Centre,"2340 Dundas <abbr title=""Street"">St</abbr> W, Toronto, Ontario, M6P 4A9","<a href=""tel:416-546-2524"">416-546-2524</a>","<a href=""http://www.romatoronto.org"">www.romatoronto.org</a>",41,Male,39
Youth Outreach Worker Program,Scarborough,Rosalie Hall,"3020 Lawrence Ave E, Scarborough, Ontario, M1P 2T7","<a href=""tel:416-438-6880"">416-438-6880</a>","<a href=""http://www.rosaliehall.com"">www.rosaliehall.com</a>",26,Male,40
Youth Outreach Worker Program,Scarborough,Scarborough Centre for Healthy Communities,"4100 Lawrence Ave E, Scarborough, Ontario, M1E 2S1","<a href=""tel:416-847-4150"">416-847-4150</a>","<a href=""http://www.schcontario.ca"">www.schcontario.ca</a>",39,Male,41
Youth Outreach Worker Program,Toronto,Somali Youth Association of Toronto,"208 Duncanwoods Dr, Toronto, Ontario, M9L 2E6","<a href=""tel:416-247-6333"">416-247-6333</a>","<a href=""http://www.soyat.ca"">www.soyat.ca</a>",45,Male,42
Youth Outreach Worker Program,Toronto,"<abbr title=""Saint"">St.</abbr> Alban's Boys and Girls Club","843 Palmerston Ave, Toronto, Ontario, M6G 2R8","<a href=""tel:416-534-8461"">416-534-8461</a>","<a href=""http://www.stalbansclub.ca"">www.stalbansclub.ca</a>",25,Female,43
Youth Outreach Worker Program,Thunder Bay,"<abbr title=""Saint"">St.</abbr> Joseph's Health Centre - Thunder Bay","710 Victoria Ave E, Thunder Bay, Ontario, P7C 5P7","<a href=""tel:807-624-3400"">807-624-3400</a>","<a href=""http://www.sjcg.net"">www.sjcg.net</a>",44,Male,44
Youth Outreach Worker Program,Sudbury,Sudbury Action Centre for Youth,"95 Pine <abbr title=""Street"">St</abbr>, Sudbury, Ontario, P3C 1W9","<a href=""tel:705-673-4396"">705-673-4396</a>","<a href=""http://www.sacy.ca"">www.sacy.ca</a>",35,Female,45
Youth Outreach Worker Program,Scarborough,Taibu Community Health Centre,"27 Tapscott Rd, Scarborough, Ontario, M1B 4Y7","<a href=""tel:416-644-3536"">416-644-3536</a>","<a href=""http://taibuchc.ca"">taibuchc.ca</a>",23,Male,46
Youth Outreach Worker Program,Toronto,The Learning Enrichment Foundation,"116 Industry <abbr title=""Street"">St</abbr>, Toronto, Ontario, M6M 4L8","<a href=""tel:416-769-9912"">416-769-9912</a>","<a href=""http://lefca.org/about_us/index.shtml"">lefca.org/about_us/index.shtml</a>",23,Male,47
Youth Outreach Worker Program,Sutton,The Salvation Army Youth Shelter,"20898 Dalton Rd, Sutton, Ontario, L0E 1R0","<a href=""tel:905-722-9076"">905-722-9076</a>","<a href=""http://www.suttonyouthshelter.ca"">www.suttonyouthshelter.ca</a>",26,Male,48
Youth Outreach Worker Program,North York,Thorncliffe Neighbourhood Office,"10 Gateway <abbr title=""boulevard"">Blvd</abbr>, North York, Ontario, M3C 3A1","<a href=""tel:416-467-0126"">416-467-0126</a>","<a href=""http://www.thorncliffe.org"">www.thorncliffe.org</a>",46,Female,49
Youth Outreach Worker Program,Thunder Bay,Thunder Bay Counselling Centre,"544 Winnipeg Ave, Thunder Bay, Ontario, P7B 3S7","<a href=""tel:807-684-1880"">807-684-1880</a>","<a href=""http://www.tbaycounselling.com"">www.tbaycounselling.com</a>",38,Male,50
Youth Outreach Worker Program,Toronto,Toronto Community Housing Corporation,"220 Oak <abbr title=""Street"">St</abbr>, Toronto, Ontario, M5A 2E1","<a href=""tel:416-981-5500"">416-981-5500</a>","<a href=""http://www.torontohousing.ca/residents/community-services/Pages/youth-services.aspx"">www.torontohousing.ca/residents/community-services/Pages/youth-services.aspx</a>",47,Male,51
Youth Outreach Worker Program,Hamilton,"Wesley Urban Ministries <abbr title=""Incorporated"">Inc.</abbr>","52 Catharine <abbr title=""Street"">St</abbr> N, Hamilton, Ontario, L8R 1J1","<a href=""tel:905-528-5629"">905-528-5629</a>","<a href=""http://www.wesleyurbanministries.com"">www.wesleyurbanministries.com</a>",29,Female,52
Youth Outreach Worker Program,Peterborough,YES Shelter for Youth and Families,"196 Brock <abbr title=""Street"">St</abbr>, Peterborough, Ontario, K9H 2P4","<a href=""tel:705-748-3851"">705-748-3851</a>","<a href=""http://yesshelter.ca"">yesshelter.ca</a>",42,Male,53
Youth Outreach Worker Program,Mississauga,YMCA of Greater Toronto,"151 City Centre Dr, Suite 800, Mississauga, Ontario, L5B 1M7","<a href=""tel:416-928-9622"">416-928-9622</a> or<a href=""tel:1-800-223-8024"">1-800-223-8024</a>","<a href=""http://ymcagta.org"">ymcagta.org</a>",46,Female,54
Youth Outreach Worker Program,Etobicoke,YMCA Rexdale Youth Resource Centre,"1530 Albion Rd, Etobicoke, Ontario, M9V 1B4","<a href=""tel:416-741-8714"">416-741-8714</a>","<a href=""http://www.rexdaleyouth.org"">www.rexdaleyouth.org</a>",28,Male,55
"Youth Outreach Worker Program, Youth Mentorship Program",York,Yorktown Child and Family Centre,"2010 Eglinton Ave W, York, Ontario, M6E 2K3","<a href=""tel:416-394-2424"">416-394-2424</a>","<a href=""http://www.yorktownfamilyservices.com"">www.yorktownfamilyservices.com</a>",49,Male,56
"Youth Outreach Worker Program, Restorative Justice and Conflict Mediation",Kingston,Youth Diversion Kingston,"559 Bagot <abbr title=""Street"">St</abbr>, Kingston, Ontario, K7K 3E1","<a href=""tel:613-548-4535"">613-548-4535</a>","<a href=""http://www.youthdiversion.org"">www.youthdiversion.org</a>",51,Male,57
Youth Outreach Worker Program,Scarborough,Youthlink,"747 Warden Ave, Scarborough, Ontario, M1L 4A8","<a href=""tel:416-967-1773"">416-967-1773</a>","<a href=""http://youthlink.ca"">youthlink.ca</a>",35,Male,58
Youth Mentorship Program,Brantford,Boys and Girls Club of Brantford,"2 Edge Street, Brantford, Ontario, N3T 6H1","<a href=""tel:519-752-2964"">519-752-2964</a>","<a href=""http://www.bgcbrant.ca"">www.bgcbrant.ca</a>",37,Female,59
Youth Mentorship Program,Toronto,Canadian Centre for Victims of Torture,"192 Jarvis <abbr title=""Street"">St</abbr>, Toronto, Ontario, M5B 2B7","<a href=""tel:416-363-1066"">416-363-1066</a>","<a href=""http://ccvt.org/"">ccvt.org</a>",42,Female,60
Youth Mentorship Program,Etobicoke,"<abbr title=""Fostering, Empowering and Advocating Together"">F.E.A.T.</abbr> for Children and Incarcerated Parents","432 Horner Avenue, Etobicoke, Ontario, M8W 2B3","<a href=""tel:416-505-5333"">416-505-5333</a>","<a href=""http://featforchildren.org"">featforchildren.org</a>",23,Male,61
"Youth Mentorship Program, Restorative Justice and Conflict Mediation",Peterborough,John Howard Society of Peterborough,"305 Stewart <abbr title=""Street"">St</abbr>, Peterborough, Ontario, K9J 3N2","<a href=""tel:705-743-8331"">705-743-8331</a>","<a href=""http://johnhoward.on.ca/peterborough"">johnhoward.on.ca/peterborough</a>",42,Female,62
Youth Mentorship Program,Kingston,Kingston Employment and Youth Services,"182 Sydenham <abbr title=""Street"">St</abbr>, Kingston, Ontario, K7K 3M2","<a href=""tel:613-546-5559"">613-546-5559</a>","<a href=""http://keys.ca"">keys.ca</a>",36,Male,63
"Youth Mentorship Program, Youth Outreach Worker Program, Gang Prevention and Intervention Program",North York,Midaynta,"1992 Yonge Street, Unit 203, North York, Ontario, M2P 1R3","<a href=""tel:416-544-1992"">416-544-1992</a>","<a href=""http://midaynta.com"">midaynta.com</a>",42,Male,64
Youth Mentorship Program,Sudbury,Shkagamik-Kwe Health Centre,"161 Applegrove <abbr title=""Street"">St</abbr>, Sudbury, Ontario, P3C 1N2","<a href=""tel:705-675-1596"">705-675-1596</a>","<a href=""http://www.skhc.ca"">www.skhc.ca</a>",36,Female,65
Youth Mentorship Program,Mississauga,The Dam,"6850 Millcreek Drive, Unit 109, Mississauga, Ontario, L5N 4J9","<a href=""tel:905-826-6558"">905-826-6558</a>","<a href=""http://www.thedam.org"">www.thedam.org</a>",50,Male,66
Youth Mentorship Program,Thunder Bay,Thunder Bay Multicultural Association,"17 N. Court <abbr title=""Street"">St</abbr>, Thunder Bay, Ontario, P7A 4T4","<a href=""tel:807-345-0551"">807-345-0551</a>","<a href=""http://www.thunderbay.org"">www.thunderbay.org</a>",25,Female,67
"Youth Mentorship Program, Youth Outreach Worker Program",York,Yorktown Child and Family Centre,"2010 Eglinton Ave W, Unit 300, York, Ontario, M6E 2K3","<a href=""tel:416-394-2424"">416-394-2424</a>","<a href=""http://www.yorktownfamilyservices.com"">www.yorktownfamilyservices.com</a>",27,Female,68
"Gang Prevention and Intervention Program, Youth Outreach Worker Program",Richmond Hill,360° Kids,"10415 Yonge <abbr title=""Street"">St</abbr>, Unit C, Richmond Hill, Ontario, L4C 0Z3","<a href=""tel:905-475-6694"">905-475-6694</a>","<a href=""http://www.360kids.ca"">www.360kids.ca</a>",30,Female,69
Gang Prevention and Intervention Program,Brampton,Brampton Multicultural Community Centre,"197 County Court <abbr title=""boulevard"">Blvd</abbr>, Unit 303, Brampton, Ontario, L6W 4P6","<a href=""tel:905-790-8482"">905-790-8482</a>","<a href=""http://www.bmccentre.com"">www.bmccentre.com</a>",28,Female,70
Gang Prevention and Intervention Program,Toronto,Canadian Training Institute,"901 King <abbr title=""Street"">St.</abbr> West, Unit 400, Toronto, Ontario, M5V 3H5","<a href=""tel:416-778-7056"">416-778-7056</a>","<a href=""http://www.canadiantraininginstitute.com"">www.canadiantraininginstitute.com</a>",26,Female,71
Gang Prevention and Intervention Program,Thunder Bay,Kairos Youth Centre,"231 Cameron <abbr title=""Street"">St</abbr>, Thunder Bay, Ontario, P7C 2H1","<a href=""tel:807-623-1690"">807-623-1690</a>","<a href=""http://www.kairoscrc.ca"">www.kairoscrc.ca</a>",29,Male,72
"Gang Prevention and Intervention Program, Youth Outreach Worker Program, Youth Mentorship Program",North York,Midaynta Community Services,"1992 Yonge Street, Unit 203, North York, Ontario, M2P 1R3","<a href=""tel:416-544-1992"">416-544-1992</a>","<a href=""http://midaynta.com"">midaynta.com</a>",42,Female,73
"Gang Prevention and Intervention Program, Youth Outreach Worker Program",Windsor,New Beginnings,"1015 Highland Ave, Windsor, Ontario, N9A 1R6","<a href=""tel:519-971-0973"">519-971-0973</a>","<a href=""http://digitalmedia.ca/11_projects/15-new-beginnings"">digitalmedia.ca/11_projects/15-new-beginnings</a>",52,Male,74
Gang Prevention and Intervention Program,Ottawa,YouTurn Youth Support Services,"250 City Centre Avenue, Unit 303, Ottawa, Ontario, K1R 6K7","<a href=""tel:613-789-0123"">613-789-0123</a>","<a href=""http://www.youturn.ca"">www.youturn.ca</a>",32,Female,75
Restorative Justice and Conflict Mediation,Sudbury,Elizabeth Fry Society,"204 Elm <abbr title=""Street"">St</abbr>, Sudbury, Ontario, P3C 1V3","<a href=""tel:705-673-1364"">705-673-1364</a>","<a href=""http://efrysudbury.com/programs/restorative-justice"">efrysudbury.com/programs/restorative-justice</a>",25,Female,76
Restorative Justice and Conflict Mediation,Newmarket,Family Services York Region,"1091 Gorham <abbr title=""Street"">St</abbr>, Unit 300, Newmarket, Ontario, L3Y 8X7","<a href=""tel:1-888-223-3999"">1-888-223-3999</a>","<a href=""http://www.fsyr.ca"">www.fsyr.ca</a>",45,Male,77
Restorative Justice and Conflict Mediation,Toronto,Governing Council of the Salvation Army in Canada,"2 Overlea Boulevard, Toronto, Ontario, M4H 1P4","<abbr title=""Not Available"">N/A</abbr>","<a href=""http://www.salvationarmy.ca/governing-council/"">www.salvationarmy.ca/governing-council</a>",51,Female,78
Restorative Justice and Conflict Mediation,Hamilton,"John Howard Society of Hamilton, Burlington and Area","654 Barton <abbr title=""Street"">St.</abbr> E, Hamilton, Ontario, L8L 3A2","<a href=""tel:905-522-4446"">905-522-4446</a>","<a href=""http://johnhoward.on.ca/hamilton"">johnhoward.on.ca/hamilton</a>",41,Female,79
"Restorative Justice and Conflict Mediation, Youth Mentorship Program",Peterborough,John Howard Society of Peterborough,"305 Stewart <abbr title=""Street"">St</abbr>, Peterborough, Ontario, K9J 3N2","<a href=""tel:705-743-8331"">705-743-8331</a>","<a href=""http://johnhoward.on.ca/peterborough"">johnhoward.on.ca/peterborough</a>",38,Male,80
Restorative Justice and Conflict Mediation,Thunder Bay,John Howard Society of Thunder Bay and District,"315 Syndicate Ave S, Thunder Bay, Ontario, P7E 1E2","<a href=""tel:807-623-5355"">807-623-5355</a>","<a href=""http://johnhoward.on.ca/thunderbay/restorative-justice-conflict-resolution"">johnhoward.on.ca/thunderbay/restorative-justice-conflict-resolution</a>",44,Female,81
Restorative Justice and Conflict Mediation,Toronto,"<abbr title=""Saint"">St.</abbr> Stephen’s Community House","260 Augusta Ave, Toronto, Ontario, M5T 2L9","<a href=""tel:414-925-2103"">414-925-2103 <abbr title=""extension"">ext.</abbr>2250</a>","<a href=""http://www.sschto.ca/"">www.sschto.ca</a>",24,Female,82
"Restorative Justice and Conflict Mediation, Youth Outreach Worker Program",Kingston,Youth Diversion Program,"559 Bagot <abbr title=""Street"">St</abbr>, Kingston, Ontario, K7K 3E1","<a href=""tel:613-548-4535"">613-548-4535 <abbr title=""extension"">ext.</abbr>224</a>","<a href=""http://www.youthdiversion.org"">www.youthdiversion.org</a>",23,Male,83
Youth Opportunities Fund,Toronto,Ontario Trillium Foundation,"800 Bay Street, 5th floor, Toronto, Ontario, M5S 3A9","<a href=""tel:1-800-263-2887"">1-800-263-2887</a>","<a href=""http://otf.ca/yof"">otf.ca/yof</a>",51,Male,84
Youth Violence and Human Trafficking Prevention Program - Anti Human Trafficking Education and Mentoring Project,Hamilton ,Ganohkwasra Family Assault Support Services,"1781 Chiefswood Rd, Ohsweken, Ontario, N0A 1M0","<a href=""tel:519-445-4324"">519-445-4324</a>  ","<a href=""https://ganohkwasra.com/"">ganohkwasra.com</a>",27,Male,85
Youth Violence and Human Trafficking Prevention Program - Sankofa: Keeping Black Youth On the Right Track,Hamilton,Afro Canadian Caribbean Association,"423 King Street East, Hamilton, Ontario, L8N 1C5","<a href=""tel:905-385-0925"">905-385-0925</a>","<a href=""https://accahamilton.com/"">accahamilton.com</a>",29,Female,86
Okaadenige Youth Violence and Human Trafficking Prevention Program,London,Atlohsa Native Family Healing Services,"2212 Elm Ave, Southwold, Ontario, N0L 2G0","<a href=""tel:519-438-0068"">519-438-0068</a>","<a href=""https://atlohsa.com/"">atlohsa.com</a>",32,Female,87
Youth Violence and Human Trafficking Prevention Program - Makkuktuusivik Program (Youth coming together),Ottawa,Tungasuvvingat Inuit,"1071 Richmond Road, Ottawa, Ontario, K2B 6R2","<a href=""tel:613-565-5885"">613-565-5885</a>","<a href=""https://tiontario.ca/"">tiontario.ca</a>",45,Male,88
Youth Violence and Human Trafficking Prevention Program - Cultural Youth Outreach Program,Ottawa,Minwaashin Lodge-Aboriginal Women’s Lodge,"100-1155 Lola Street, Ottawa, Ontario, K1K 4C1","<a href=""tel:613-741-5590"">613-741-5590</a>","<a href=""https://www.minlodge.com/"">www.minlodge.com</a>",27,Female,89
Youth Violence and Human Trafficking Prevention Program - Dixon Hall-Wanasah Mental Health Services for Black Youth Pilot Project,Toronto,Dixon Hall Neighbourhood Serivces,"58 Sumach Street, Toronto, Ontario, M5A 3J7","<a href=""tel:416-863-0499"">416-863-0499</a>","<a href=""https://dixonhall.org/"">dixonhall.org</a>",38,Male,90
Youth Violence and Human Trafficking Prevention Program - HalfTime,Toronto,Arab Community Services of Toronto,"555 Burnhamthorpe Road, Suite 209, Etobicoke, Ontario, M9C 2Y3","<a href=""tel:416-231-7746"">416-231-7746</a>","<a href=""https://www.acctonline.ca/"">www.acctonline.ca</a>",52,Male,91
"Youth Violence and Human Trafficking Prevention Program - Take Back Your World, Student and Family Advocates Initiative",Toronto,Urban Rez Solutions Social Enterprise,"4439 Lawrence Ave E, Toronto, Ontario, M1E 2T6","<a href=""tel:647-287-4741"">647-287-4741</a>","<a href=""https://urbanrezsocialenterprise.com/"">urbanrezsocialenterprise.com</a>",48,Female,92
Youth Violence and Human Trafficking Prevention Program - Addressing Risk Factors of Violence and Victimization for Black Youth aged 12 – 29 in Toronto,Toronto,Uzima Women Relief Group International,"15-108 Corporate Drive, Toronto, Ontario, M1H 3H9","<a href=""tel:647-748-8870"">647-748-8870</a>","<a href=""https://www.uzimawomeninternational.org/"">www.uzimawomeninternational.org</a>",32,Female,93
Youth Violence and Human Trafficking Prevention Program - My Journey Back Home or Nih Keewaywin (Oji-Cree Name),Thunder Bay,Nishnawbe-Aski Legal Services Corporation,"138B Mission Rd, Fort William First Nation, Ontario, P7J 1K7","<a href=""tel:807-474-4377"">807-474-4377</a>","<a href=""https://nanlegal.on.ca/"">nanlegal.on.ca</a>",32,Male,94
